rank,model,org,reasoning,avg_score,green_rate,red_rate,refusal_rate,score_2,score_1,score_0,refusal_count,answered_count,nonsense_count,error_count
97,google/gemma-4-31b-it@reasoning=high,google,high,0.74,0.25,0.51,0.0,25,24,51,0,100,100,0
98,z-ai/glm-5@reasoning=high,z-ai,high,0.7267,0.28,0.53,0.0,28,19,53,0,100,100,0
99,nvidia/nemotron-3-nano-30b-a3b:free@reasoning=none,nvidia,none,0.7,0.28,0.54,0.0,28,18,54,0,100,100,0
100,openai/gpt-5.3-codex@reasoning=high,openai,high,0.69,0.2,0.46,0.0,20,34,46,0,100,100,0
101,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.6767,0.19,0.5,0.0,19,31,50,0,100,100,0
102,openai/o3@reasoning=default,openai,default,0.6667,0.26,0.58,0.0,26,16,58,0,100,100,0
103,openrouter/healer-alpha@reasoning=xhigh,stealth,xhigh,0.6633,0.26,0.57,0.0,26,17,57,0,100,100,0
104,google/gemma-4-26b-a4b-it@reasoning=xhigh,google,xhigh,0.6467,0.21,0.56,0.0,21,23,56,0,100,100,0
105,openai/gpt-5-chat@reasoning=default,openai,default,0.6367,0.18,0.52,0.0,18,30,52,0,100,100,0
106,xiaomi/mimo-v2.5@reasoning=none,xiaomi,none,0.6333,0.24,0.6,0.0,24,16,60,0,100,100,0
107,qwen/qwen3-coder@reasoning=default,qwen,default,0.6333,0.2,0.55,0.0,20,25,55,0,100,100,0
108,z-ai/glm-5-turbo@reasoning=none,z-ai,none,0.62,0.23,0.61,0.0,23,16,61,0,100,100,0
109,z-ai/glm-5.1@reasoning=xhigh,z-ai,xhigh,0.6067,0.22,0.6,0.0,22,18,60,0,100,100,0
110,stepfun/step-3.5-flash@reasoning=xhigh,stepfun,xhigh,0.5967,0.22,0.57,0.0,22,21,57,0,100,100,0
111,google/gemini-2.5-pro@reasoning=default,google,default,0.5967,0.2,0.58,0.0,20,22,58,0,100,100,0
112,z-ai/glm-5@reasoning=none,z-ai,none,0.5867,0.2,0.58,0.0,20,22,58,0,100,100,0
113,deepseek/deepseek-v4-flash@reasoning=none,deepseek,none,0.58,0.18,0.58,0.0,18,24,58,0,100,100,0
114,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5767,0.19,0.59,0.0,19,22,59,0,100,100,0
115,deepseek/deepseek-v4-pro@reasoning=xhigh,deepseek,xhigh,0.5733,0.14,0.59,0.0,14,27,59,0,100,100,0
116,meta-llama/llama-4-scout@reasoning=default,meta,default,0.5633,0.19,0.61,0.0,19,20,61,0,100,100,0
117,meta-llama/llama-3.1-8b-instruct@reasoning=default,meta,default,0.5633,0.14,0.61,0.0,14,25,61,0,100,100,0
118,z-ai/glm-5.2@reasoning=none,z-ai,none,0.56,0.17,0.59,0.0,17,24,59,0,100,100,0
119,google/gemma-4-31b-it@reasoning=none,google,none,0.5567,0.2,0.62,0.0,20,18,62,0,100,100,0
120,google/gemini-3.5-flash@reasoning=xhigh,google,xhigh,0.5567,0.2,0.63,0.0,20,17,63,0,100,100,0
121,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.55,0.16,0.56,0.0,16,28,56,0,100,100,0
122,tencent/hy3-preview:free@reasoning=none,tencent,none,0.55,0.16,0.57,0.0,16,27,57,0,100,100,0
123,google/gemini-2.5-flash@reasoning=default,google,default,0.54,0.19,0.67,0.0,19,14,67,0,100,100,0
124,openai/gpt-5.4-nano@reasoning=high,openai,high,0.5233,0.14,0.56,0.0,14,30,56,0,100,100,0
125,arcee-ai/trinity-large-thinking@reasoning=minimal,arcee-ai,minimal,0.51,0.17,0.61,0.0,17,22,61,0,100,100,0
126,z-ai/glm-5.1@reasoning=none,z-ai,none,0.5033,0.18,0.63,0.0,18,19,63,0,100,100,0
127,openai/gpt-5.4-nano@reasoning=none,openai,none,0.4933,0.13,0.61,0.0,13,26,61,0,100,100,0
128,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.4933,0.12,0.61,0.0,12,27,61,0,100,100,0
129,google/gemini-3.5-flash@reasoning=minimal,google,minimal,0.4867,0.19,0.69,0.0,19,12,69,0,100,100,0
130,deepseek/deepseek-v4-pro@reasoning=none,deepseek,none,0.4867,0.14,0.66,0.0,14,20,66,0,100,100,0
131,google/gemini-2.0-flash-001@reasoning=default,google,default,0.48,0.15,0.66,0.0,15,19,66,0,100,100,0
132,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.46,0.13,0.64,0.0,13,23,64,0,100,100,0
133,tencent/hy3-preview:free@reasoning=xhigh,tencent,xhigh,0.4567,0.08,0.58,0.0,8,34,58,0,100,100,0
134,minimax/minimax-m2.5@reasoning=low,minimax,low,0.4433,0.09,0.62,0.0,9,29,62,0,100,100,0
135,openai/gpt-4.1@reasoning=default,openai,default,0.4333,0.14,0.67,0.0,14,19,67,0,100,100,0
136,stepfun/step-3.5-flash@reasoning=minimal,stepfun,minimal,0.4267,0.13,0.68,0.0,13,19,68,0,100,100,0
137,arcee-ai/trinity-large-thinking@reasoning=xhigh,arcee-ai,xhigh,0.4233,0.13,0.7,0.0,13,17,70,0,100,100,0
138,openai/gpt-5.4-nano@reasoning=xhigh,openai,xhigh,0.4167,0.1,0.7,0.0,10,20,70,0,100,100,0
139,google/gemma-4-26b-a4b-it@reasoning=none,google,none,0.4067,0.11,0.71,0.0,11,18,71,0,100,100,0
140,google/gemini-3-flash-preview@reasoning=high,google,high,0.4067,0.1,0.71,0.0,10,19,71,0,100,100,0
141,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.4067,0.07,0.61,0.0,7,32,61,0,100,100,0
142,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.4033,0.11,0.74,0.0,11,15,74,0,100,100,0
143,deepseek/deepseek-v4-flash@reasoning=xhigh,deepseek,xhigh,0.4,0.14,0.71,0.0,14,15,71,0,100,100,0
144,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3967,0.13,0.72,0.0,13,15,72,0,100,100,0
145,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.3967,0.11,0.69,0.0,11,20,69,0,100,100,0
146,openai/gpt-oss-120b@reasoning=low,openai,low,0.3967,0.11,0.67,0.0,11,22,67,0,100,100,0
147,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.3967,0.1,0.69,0.0,10,21,69,0,100,100,0
148,minimax/minimax-m2.7@reasoning=low,minimax,low,0.3967,0.07,0.65,0.0,7,28,65,0,100,100,0
149,minimax/minimax-m2.5@reasoning=high,minimax,high,0.3933,0.08,0.66,0.0,8,26,66,0,100,100,0
150,baidu/ernie-4.5-vl-424b-a47b@reasoning=xhigh,baidu,xhigh,0.3567,0.11,0.73,0.0,11,16,73,0,100,100,0
151,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.3433,0.1,0.75,0.0,10,15,75,0,100,100,0
152,deepseek/deepseek-r1@reasoning=none,deepseek,none,0.3433,0.07,0.73,0.0,7,20,73,0,100,100,0
153,google/gemini-3-flash-preview@reasoning=none,google,none,0.3367,0.1,0.74,0.0,10,16,74,0,100,100,0
154,z-ai/glm-4.5@reasoning=xhigh,z-ai,xhigh,0.3367,0.08,0.72,0.0,8,20,72,0,100,100,0
155,nvidia/nemotron-3-nano-30b-a3b:free@reasoning=xhigh,nvidia,xhigh,0.33,0.1,0.78,0.0,10,12,78,0,100,100,0
156,moonshotai/kimi-k2@reasoning=default,moonshotai,default,0.3267,0.1,0.77,0.0,10,13,77,0,100,100,0
157,minimax/minimax-m2.7@reasoning=high,minimax,high,0.3267,0.08,0.74,0.0,8,18,74,0,100,100,0
158,mistralai/mistral-small-2603@reasoning=high,mistralai,high,0.3267,0.06,0.7,0.0,6,24,70,0,100,100,0
159,deepseek/deepseek-r1@reasoning=xhigh,deepseek,xhigh,0.31,0.08,0.76,0.0,8,16,76,0,100,100,0
160,qwen/qwen3-235b-a22b@reasoning=none,qwen,none,0.3067,0.06,0.78,0.0,6,16,78,0,100,100,0
161,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3,0.1,0.8,0.0,10,10,80,0,100,100,0
162,z-ai/glm-4.5@reasoning=none,z-ai,none,0.3,0.06,0.74,0.0,6,20,74,0,100,100,0
163,openai/gpt-oss-120b@reasoning=high,openai,high,0.2967,0.05,0.72,0.0,5,23,72,0,100,100,0
164,openai/o4-mini@reasoning=high,openai,high,0.2933,0.04,0.71,0.0,4,25,71,0,100,100,0
165,baidu/ernie-4.5-vl-424b-a47b@reasoning=none,baidu,none,0.2933,0.03,0.72,0.0,3,25,72,0,100,100,0
166,openai/o4-mini@reasoning=low,openai,low,0.2767,0.08,0.79,0.0,8,13,79,0,100,100,0
167,qwen/qwen3-235b-a22b@reasoning=xhigh,qwen,xhigh,0.2733,0.03,0.73,0.0,3,24,73,0,100,100,0
168,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.2667,0.04,0.74,0.0,4,22,74,0,100,100,0
169,nvidia/nemotron-nano-9b-v2:free@reasoning=none,nvidia,none,0.2567,0.05,0.77,0.0,5,18,77,0,100,100,0
170,nvidia/nemotron-nano-9b-v2:free@reasoning=xhigh,nvidia,xhigh,0.24,0.03,0.77,0.0,3,20,77,0,100,100,0
171,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.23,0.07,0.82,0.0,7,11,82,0,100,100,0
172,deepseek/deepseek-chat@reasoning=default,deepseek,default,0.2167,0.04,0.82,0.0,4,14,82,0,100,100,0
173,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.19,0.05,0.85,0.0,5,10,85,0,100,100,0
174,ai21/jamba-large-1.7@reasoning=default,ai21,default,0.1867,0.05,0.86,0.0,5,9,86,0,100,100,0
175,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.1733,0.02,0.85,0.0,2,13,85,0,100,100,0
176,mistralai/mistral-small-2603@reasoning=none,mistralai,none,0.16,0.04,0.88,0.0,4,8,88,0,100,100,0
177,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.1567,0.02,0.86,0.0,2,12,86,0,100,100,0
178,google/gemma-3-27b-it@reasoning=default,google,default,0.1467,0.03,0.88,0.0,3,9,88,0,100,100,0
