model_id,org,present_in_latest,present_in_config,present_in_runs_history,variant_count,variants
nvidia/nemotron-3-super-120b-a12b:free,nvidia,true,false,true,3,nvidia/nemotron-3-super-120b-a12b:free@reasoning=default;nvidia/nemotron-3-super-120b-a12b:free@reasoning=none;nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh
nvidia/nemotron-nano-9b-v2:free,nvidia,true,false,true,3,nvidia/nemotron-nano-9b-v2:free@reasoning=default;nvidia/nemotron-nano-9b-v2:free@reasoning=none;nvidia/nemotron-nano-9b-v2:free@reasoning=xhigh
openai/gpt-4.1,openai,true,true,true,1,openai/gpt-4.1@reasoning=default
openai/gpt-4o,openai,true,false,false,1,openai/gpt-4o@reasoning=default
openai/gpt-4o-2024-08-06,openai,true,true,true,1,openai/gpt-4o-2024-08-06@reasoning=default
openai/gpt-4o-mini,openai,true,false,false,1,openai/gpt-4o-mini@reasoning=default
openai/gpt-4o-mini-2024-07-18,openai,true,true,true,1,openai/gpt-4o-mini-2024-07-18@reasoning=default
openai/gpt-5,openai,true,true,true,1,openai/gpt-5@reasoning=default
openai/gpt-5-chat,openai,true,true,true,1,openai/gpt-5-chat@reasoning=default
openai/gpt-5-codex,openai,true,true,true,1,openai/gpt-5-codex@reasoning=default
openai/gpt-5.1,openai,true,true,true,1,openai/gpt-5.1@reasoning=default
openai/gpt-5.1-chat,openai,true,true,true,1,openai/gpt-5.1-chat@reasoning=default
openai/gpt-5.1-codex,openai,true,true,true,1,openai/gpt-5.1-codex@reasoning=default
openai/gpt-5.2,openai,true,true,true,4,openai/gpt-5.2@reasoning=default;openai/gpt-5.2@reasoning=high;openai/gpt-5.2@reasoning=medium;openai/gpt-5.2@reasoning=none
openai/gpt-5.2-chat,openai,true,false,true,2,openai/gpt-5.2-chat@reasoning=default;openai/gpt-5.2-chat@reasoning=medium
openai/gpt-5.2-codex,openai,true,true,true,4,openai/gpt-5.2-codex@reasoning=default;openai/gpt-5.2-codex@reasoning=high;openai/gpt-5.2-codex@reasoning=low;openai/gpt-5.2-codex@reasoning=xhigh
openai/gpt-5.3-chat,openai,true,true,true,1,openai/gpt-5.3-chat@reasoning=default
openai/gpt-5.3-codex,openai,true,true,true,4,openai/gpt-5.3-codex@reasoning=default;openai/gpt-5.3-codex@reasoning=high;openai/gpt-5.3-codex@reasoning=low;openai/gpt-5.3-codex@reasoning=xhigh
openai/gpt-5.4,openai,true,true,true,3,openai/gpt-5.4@reasoning=default;openai/gpt-5.4@reasoning=none;openai/gpt-5.4@reasoning=xhigh
openai/gpt-5.4-mini,openai,true,true,true,4,openai/gpt-5.4-mini@reasoning=default;openai/gpt-5.4-mini@reasoning=high;openai/gpt-5.4-mini@reasoning=none;openai/gpt-5.4-mini@reasoning=xhigh
openai/gpt-5.4-nano,openai,true,true,true,4,openai/gpt-5.4-nano@reasoning=default;openai/gpt-5.4-nano@reasoning=high;openai/gpt-5.4-nano@reasoning=none;openai/gpt-5.4-nano@reasoning=xhigh
openai/gpt-oss-120b,openai,true,true,true,3,openai/gpt-oss-120b@reasoning=default;openai/gpt-oss-120b@reasoning=high;openai/gpt-oss-120b@reasoning=low
openai/o3,openai,true,true,true,2,openai/o3@reasoning=default;openai/o3@reasoning=low
openai/o4-mini,openai,true,true,true,3,openai/o4-mini@reasoning=default;openai/o4-mini@reasoning=high;openai/o4-mini@reasoning=low
openrouter/healer-alpha,openrouter,true,false,false,2,openrouter/healer-alpha@reasoning=none;openrouter/healer-alpha@reasoning=xhigh
openrouter/hunter-alpha,openrouter,true,false,false,2,openrouter/hunter-alpha@reasoning=none;openrouter/hunter-alpha@reasoning=xhigh
prime-intellect/intellect-3,prime-intellect,true,true,true,3,prime-intellect/intellect-3@reasoning=default;prime-intellect/intellect-3@reasoning=high;prime-intellect/intellect-3@reasoning=low
qwen/qwen3-235b-a22b,qwen,true,false,true,3,qwen/qwen3-235b-a22b@reasoning=default;qwen/qwen3-235b-a22b@reasoning=none;qwen/qwen3-235b-a22b@reasoning=xhigh
qwen/qwen3-coder,qwen,true,false,true,1,qwen/qwen3-coder@reasoning=default
qwen/qwen3.5-397b-a17b,qwen,true,true,true,3,qwen/qwen3.5-397b-a17b@reasoning=default;qwen/qwen3.5-397b-a17b@reasoning=high;qwen/qwen3.5-397b-a17b@reasoning=none
qwen/qwen3.6-plus,qwen,true,true,true,2,qwen/qwen3.6-plus@reasoning=none;qwen/qwen3.6-plus@reasoning=xhigh
qwen/qwen3.7-max,qwen,true,true,true,2,qwen/qwen3.7-max@reasoning=none;qwen/qwen3.7-max@reasoning=xhigh
stepfun/step-3.5-flash,stepfun,true,false,true,3,stepfun/step-3.5-flash@reasoning=default;stepfun/step-3.5-flash@reasoning=minimal;stepfun/step-3.5-flash@reasoning=xhigh
x-ai/grok-4.1-fast,x-ai,true,true,true,3,x-ai/grok-4.1-fast@reasoning=default;x-ai/grok-4.1-fast@reasoning=high;x-ai/grok-4.1-fast@reasoning=none
x-ai/grok-4.20-beta,x-ai,true,false,true,3,x-ai/grok-4.20-beta@reasoning=default;x-ai/grok-4.20-beta@reasoning=low;x-ai/grok-4.20-beta@reasoning=xhigh
x-ai/grok-4.20-multi-agent-beta,x-ai,true,false,true,3,x-ai/grok-4.20-multi-agent-beta@reasoning=default;x-ai/grok-4.20-multi-agent-beta@reasoning=low;x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh
x-ai/grok-4.3,x-ai,true,true,true,2,x-ai/grok-4.3@reasoning=minimal;x-ai/grok-4.3@reasoning=xhigh
xiaomi/mimo-v2-flash,xiaomi,true,true,true,3,xiaomi/mimo-v2-flash@reasoning=default;xiaomi/mimo-v2-flash@reasoning=high;xiaomi/mimo-v2-flash@reasoning=none
z-ai/glm-4.5,z-ai,true,false,true,3,z-ai/glm-4.5@reasoning=default;z-ai/glm-4.5@reasoning=none;z-ai/glm-4.5@reasoning=xhigh
z-ai/glm-5,z-ai,true,true,true,3,z-ai/glm-5@reasoning=default;z-ai/glm-5@reasoning=high;z-ai/glm-5@reasoning=none
z-ai/glm-5.1,z-ai,true,true,true,2,z-ai/glm-5.1@reasoning=none;z-ai/glm-5.1@reasoning=xhigh
z-ai/glm-5.2,z-ai,true,true,true,2,z-ai/glm-5.2@reasoning=none;z-ai/glm-5.2@reasoning=xhigh
